Input #0, wav, from 'outputs/single_10/the-dragon-sleeps-v1-demo.wav':
  Metadata:
    encoder         : Lavf60.16.100
  Duration: 00:02:42.85, bitrate: 2116 kb/s
  Stream #0:0: Audio: pcm_s24le ([1][0][0][0] / 0x0001), 44100 Hz, stereo, s32 (24 bit), 2116 kb/s
Stream mapping:
  Stream #0:0 (pcm_s24le) -> ebur128:default
  ebur128:out0 -> Stream #0:0 (pcm_s16le)
Press [q] to stop, [?] for help
[Parsed_ebur128_0 @ 0x55e735335380] t: 0.0999773  TARGET:-23 LUFS    M:-120.7 S:-120.7     I: -70.0 LUFS       LRA:   0.0 LU  FTPK: -24.8 -27.5 dBFS  TPK: -24.8 -27.5 dBFS
Output #0, null, to 'pipe:':
  Metadata:
    encoder         : Lavf60.16.100
  Stream #0:0: Audio: pcm_s16le, 44100 Hz, stereo, s16, 1411 kb/s
    Metadata:
      encoder         : Lavc60.31.102 pcm_s16le
size=       0kB time=00:00:00.00 bitrate=N/A speed=   0x    [Parsed_ebur128_0 @ 0x55e735335380] t: 0.199977   TARGET:-23 LUFS    M:-120.7 S:-120.7     I: -70.0 LUFS       LRA:   0.0 LU  FTPK: -21.3 -24.5 dBFS  TPK: -21.3 -24.5 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 0.299977   TARGET:-23 LUFS    M:-120.7 S:-120.7     I: -70.0 LUFS       LRA:   0.0 LU  FTPK: -24.9 -28.2 dBFS  TPK: -21.3 -24.5 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 0.399977   TARGET:-23 LUFS    M: -30.0 S:-120.7     I: -30.0 LUFS       LRA:   0.0 LU  FTPK: -23.7 -29.3 dBFS  TPK: -21.3 -24.5 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 0.499977   TARGET:-23 LUFS    M: -29.7 S:-120.7     I: -29.8 LUFS       LRA:   0.0 LU  FTPK: -26.7 -30.3 dBFS  TPK: -21.3 -24.5 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 0.599977   TARGET:-23 LUFS    M: -32.1 S:-120.7     I: -30.5 LUFS       LRA:   0.0 LU  FTPK: -37.0 -39.7 dBFS  TPK: -21.3 -24.5 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 0.699977   TARGET:-23 LUFS    M: -34.1 S:-120.7     I: -31.2 LUFS       LRA:   0.0 LU  FTPK: -36.5 -43.1 dBFS  TPK: -21.3 -24.5 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 0.799977   TARGET:-23 LUFS    M: -38.9 S:-120.7     I: -31.9 LUFS       LRA:   0.0 LU  FTPK: -39.8 -41.9 dBFS  TPK: -21.3 -24.5 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 0.899977   TARGET:-23 LUFS    M: -45.0 S:-120.7     I: -31.9 LUFS       LRA:   0.0 LU  FTPK: -42.3 -42.0 dBFS  TPK: -21.3 -24.5 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 0.999977   TARGET:-23 LUFS    M: -46.3 S:-120.7     I: -31.9 LUFS       LRA:   0.0 LU  FTPK: -41.5 -46.6 dBFS  TPK: -21.3 -24.5 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 1.09998    TARGET:-23 LUFS    M: -48.1 S:-120.7     I: -31.9 LUFS       LRA:   0.0 LU  FTPK: -42.2 -43.3 dBFS  TPK: -21.3 -24.5 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 1.19998    TARGET:-23 LUFS    M: -48.8 S:-120.7     I: -31.9 LUFS       LRA:   0.0 LU  FTPK: -45.0 -47.0 dBFS  TPK: -21.3 -24.5 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 1.29998    TARGET:-23 LUFS    M: -50.2 S:-120.7     I: -31.9 LUFS       LRA:   0.0 LU  FTPK: -51.8 -47.2 dBFS  TPK: -21.3 -24.5 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 1.39998    TARGET:-23 LUFS    M: -35.3 S:-120.7     I: -32.3 LUFS       LRA:   0.0 LU  FTPK: -23.3 -21.0 dBFS  TPK: -21.3 -21.0 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 1.49998    TARGET:-23 LUFS    M: -31.9 S:-120.7     I: -32.3 LUFS       LRA:   0.0 LU  FTPK: -24.8 -22.0 dBFS  TPK: -21.3 -21.0 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 1.59998    TARGET:-23 LUFS    M: -30.7 S:-120.7     I: -32.0 LUFS       LRA:   0.0 LU  FTPK: -26.8 -26.7 dBFS  TPK: -21.3 -21.0 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 1.69998    TARGET:-23 LUFS    M: -30.0 S:-120.7     I: -31.8 LUFS       LRA:   0.0 LU  FTPK: -28.4 -26.8 dBFS  TPK: -21.3 -21.0 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 1.79998    TARGET:-23 LUFS    M: -31.1 S:-120.7     I: -31.7 LUFS       LRA:   0.0 LU  FTPK: -30.8 -29.1 dBFS  TPK: -21.3 -21.0 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 1.89998    TARGET:-23 LUFS    M: -33.6 S:-120.7     I: -31.8 LUFS       LRA:   0.0 LU  FTPK: -34.4 -37.7 dBFS  TPK: -21.3 -21.0 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 1.99998    TARGET:-23 LUFS    M: -36.1 S:-120.7     I: -32.1 LUFS       LRA:   0.0 LU  FTPK: -36.2 -42.1 dBFS  TPK: -21.3 -21.0 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 2.09998    TARGET:-23 LUFS    M: -40.2 S:-120.7     I: -32.4 LUFS       LRA:   0.0 LU  FTPK: -40.8 -40.4 dBFS  TPK: -21.3 -21.0 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 2.19998    TARGET:-23 LUFS    M: -44.0 S:-120.7     I: -32.4 LUFS       LRA:   0.0 LU  FTPK: -44.0 -43.5 dBFS  TPK: -21.3 -21.0 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 2.29998    TARGET:-23 LUFS    M: -45.9 S:-120.7     I: -32.7 LUFS       LRA:   0.0 LU  FTPK: -28.9 -30.7 dBFS  TPK: -21.3 -21.0 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 2.39998    TARGET:-23 LUFS    M: -31.4 S:-120.7     I: -32.3 LUFS       LRA:   0.0 LU  FTPK: -18.6 -21.0 dBFS  TPK: -18.6 -21.0 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 2.49998    TARGET:-23 LUFS    M: -29.5 S:-120.7     I: -32.0 LUFS       LRA:   0.0 LU  FTPK: -21.7 -24.0 dBFS  TPK: -18.6 -21.0 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 2.59998    TARGET:-23 LUFS    M: -28.6 S:-120.7     I: -31.7 LUFS       LRA:   0.0 LU  FTPK: -24.1 -27.4 dBFS  TPK: -18.6 -21.0 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 2.69998    TARGET:-23 LUFS    M: -26.9 S:-120.7     I: -31.2 LUFS       LRA:   0.0 LU  FTPK: -20.0 -17.6 dBFS  TPK: -18.6 -17.6 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 2.79998    TARGET:-23 LUFS    M: -27.6 S:-120.7     I: -30.9 LUFS       LRA:   0.0 LU  FTPK: -19.2 -23.5 dBFS  TPK: -18.6 -17.6 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 2.89998    TARGET:-23 LUFS    M: -27.7 S:-120.7     I: -30.7 LUFS       LRA:   0.0 LU  FTPK: -20.3 -26.0 dBFS  TPK: -18.6 -17.6 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 2.99998    TARGET:-23 LUFS    M: -27.8 S: -31.5     I: -30.5 LUFS       LRA:  20.0 LU  FTPK: -20.8 -26.6 dBFS  TPK: -18.6 -17.6 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 3.09998    TARGET:-23 LUFS    M: -29.8 S: -31.5     I: -30.4 LUFS       LRA:  20.0 LU  FTPK: -28.3 -31.5 dBFS  TPK: -18.6 -17.6 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 3.19998    TARGET:-23 LUFS    M: -31.7 S: -31.9     I: -30.5 LUFS       LRA:  20.1 LU  FTPK: -31.5 -34.2 dBFS  TPK: -18.6 -17.6 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 3.29998    TARGET:-23 LUFS    M: -34.5 S: -32.1     I: -30.6 LUFS       LRA:  20.2 LU  FTPK: -38.0 -36.3 dBFS  TPK: -18.6 -17.6 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 3.39998    TARGET:-23 LUFS    M: -39.9 S: -32.3     I: -30.8 LUFS       LRA:   0.8 LU  FTPK: -37.6 -33.8 dBFS  TPK: -18.6 -17.6 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 3.49998    TARGET:-23 LUFS    M: -42.6 S: -32.4     I: -30.8 LUFS       LRA:   0.9 LU  FTPK: -40.8 -38.1 dBFS  TPK: -18.6 -17.6 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 3.59998    TARGET:-23 LUFS    M: -44.4 S: -32.4     I: -30.8 LUFS       LRA:   0.9 LU  FTPK: -39.4 -39.9 dBFS  TPK: -18.6 -17.6 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 3.69998    TARGET:-23 LUFS    M: -45.3 S: -32.4     I: -30.8 LUFS       LRA:   0.9 LU  FTPK: -45.6 -40.6 dBFS  TPK: -18.6 -17.6 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 3.79998    TARGET:-23 LUFS    M: -47.4 S: -32.4     I: -30.8 LUFS       LRA:   0.9 LU  FTPK: -45.2 -43.5 dBFS  TPK: -18.6 -17.6 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 3.89998    TARGET:-23 LUFS    M: -35.6 S: -32.2     I: -30.9 LUFS       LRA:   0.9 LU  FTPK: -21.1 -19.8 dBFS  TPK: -18.6 -17.6 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 3.99998    TARGET:-23 LUFS    M: -29.8 S: -31.5     I: -30.8 LUFS       LRA:   0.9 LU  FTPK: -22.4 -19.1 dBFS  TPK: -18.6 -17.6 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 4.09998    TARGET:-23 LUFS    M: -28.3 S: -31.1     I: -30.7 LUFS       LRA:   0.9 LU  FTPK: -22.9 -21.7 dBFS  TPK: -18.6 -17.6 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 4.19998    TARGET:-23 LUFS    M: -27.3 S: -30.9     I: -30.5 LUFS       LRA:   1.3 LU  FTPK: -25.8 -23.2 dBFS  TPK: -18.6 -17.6 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 4.29998    TARGET:-23 LUFS    M: -27.5 S: -30.7     I: -30.4 LUFS       LRA:   1.5 LU  FTPK: -27.3 -24.0 dBFS  TPK: -18.6 -17.6 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 4.39998    TARGET:-23 LUFS    M: -29.8 S: -30.9     I: -30.4 LUFS       LRA:   1.5 LU  FTPK: -31.9 -32.4 dBFS  TPK: -18.6 -17.6 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 4.49998    TARGET:-23 LUFS    M: -32.1 S: -31.2     I: -30.4 LUFS       LRA:   1.5 LU  FTPK: -32.2 -36.5 dBFS  TPK: -18.6 -17.6 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 4.59998    TARGET:-23 LUFS    M: -35.8 S: -31.3     I: -30.5 LUFS       LRA:   1.5 LU  FTPK: -33.4 -39.2 dBFS  TPK: -18.6 -17.6 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 4.69998    TARGET:-23 LUFS    M: -40.6 S: -31.4     I: -30.6 LUFS       LRA:   1.5 LU  FTPK: -37.9 -39.2 dBFS  TPK: -18.6 -17.6 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 4.79998    TARGET:-23 LUFS    M: -42.1 S: -31.5     I: -30.6 LUFS       LRA:   1.5 LU  FTPK: -39.7 -42.0 dBFS  TPK: -18.6 -17.6 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 4.89998    TARGET:-23 LUFS    M: -31.9 S: -31.0     I: -30.7 LUFS       LRA:   1.5 LU  FTPK: -19.4 -17.3 dBFS  TPK: -18.6 -17.3 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 4.99998    TARGET:-23 LUFS    M: -29.8 S: -30.7     I: -30.6 LUFS       LRA:   1.7 LU  FTPK: -23.7 -21.1 dBFS  TPK: -18.6 -17.3 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 5.09998    TARGET:-23 LUFS    M: -28.7 S: -30.5     I: -30.6 LUFS       LRA:   1.7 LU  FTPK: -24.4 -20.2 dBFS  TPK: -18.6 -17.3 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 5.19998    TARGET:-23 LUFS    M: -26.6 S: -30.0     I: -30.4 LUFS       LRA:   1.9 LU  FTPK: -17.4 -16.4 dBFS  TPK: -17.4 -16.4 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 5.29998    TARGET:-23 LUFS    M: -26.5 S: -29.6     I: -30.2 LUFS       LRA:   2.4 LU  FTPK: -18.3 -19.9 dBFS  TPK: -17.4 -16.4 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 5.39998    TARGET:-23 LUFS    M: -26.1 S: -29.7     I: -30.1 LUFS       LRA:   2.7 LU  FTPK: -19.0 -20.0 dBFS  TPK: -17.4 -16.4 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 5.49998    TARGET:-23 LUFS    M: -25.8 S: -29.6     I: -29.9 LUFS       LRA:   2.8 LU  FTPK: -20.6 -20.5 dBFS  TPK: -17.4 -16.4 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 5.59998    TARGET:-23 LUFS    M: -27.2 S: -29.7     I: -29.8 LUFS       LRA:   2.8 LU  FTPK: -25.5 -24.6 dBFS  TPK: -17.4 -16.4 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 5.69998    TARGET:-23 LUFS    M: -29.0 S: -30.1     I: -29.8 LUFS       LRA:   2.8 LU  FTPK: -29.8 -30.9 dBFS  TPK: -17.4 -16.4 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 5.79998    TARGET:-23 LUFS    M: -31.6 S: -30.3     I: -29.8 LUFS       LRA:   2.8 LU  FTPK: -32.1 -33.2 dBFS  TPK: -17.4 -16.4 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 5.89998    TARGET:-23 LUFS    M: -36.9 S: -30.5     I: -29.9 LUFS       LRA:   2.8 LU  FTPK: -34.7 -34.5 dBFS  TPK: -17.4 -16.4 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 5.99998    TARGET:-23 LUFS    M: -39.9 S: -30.7     I: -30.0 LUFS       LRA:   2.7 LU  FTPK: -34.6 -36.7 dBFS  TPK: -17.4 -16.4 dBFS
[Parsed_ebur128_0 @ 0x55e735335380] t: 6.09998    TARGET:-23 LUFS    M: -41.8 S: -30.7     I: -30.0 LUFS       LRA:   2.7 LU  FTPK: -36.2 -37.9 dBFS  TPK: -17.4 -16.4 dBFS
